cz_num,campzone,n,Low roof building,In IBZ/low-rise manufacturing zone,Low-rise residential zone,In historic district,Owner owns other nearby buildings,In federal disadvantaged community,LL97 covered building,High solar radiation pootential,In state disadvantaged community,avg_suitability,avg_energy_MWh,total_energy_MWh
1,Greenpoint IBZ,14,0.5714285714285714,1,NA,NA,0.5,0.7857142857142857,0.42857142857142855,0.35714285714285715,1,7.214285714285714,458.25259319455716,6415.5363047238
10,Sunset Park,96,0.5208333333333334,0.9791666666666666,0.020833333333333332,NA,0.15104166666666666,0.4895833333333333,0.5104166666666666,0.3307291666666667,1,6.177083333333333,310.0141467282135,29761.3580859085
11,Sheepshead Bay - Nostrand Houses,10,NA,NA,1,NA,0.95,0.9,1,0.1,0.9,6.9,99.01794503358,990.1794503358
2,North Brooklyn Waterfront,60,0.6333333333333333,0.85,0.08333333333333333,0.016666666666666666,0.20833333333333334,NA,0.4666666666666667,0.35000000000000003,0.9166666666666666,5.533333333333333,217.69579286384501,13061.7475718307
3,Downtown BK/Navy Yard/North Brooklyn IBZ,896,0.5044642857142857,0.5502232142857143,0.22767857142857142,0.0011160714285714285,0.32421875,0.6316964285714286,0.6372767857142857,0.22572544642857142,0.9140625,6.159598214285714,209.43789739707225,187656.35606777674
4,Red Hook/Gowanus,101,0.48514851485148514,0.594059405940594,0.42574257425742573,NA,0.4603960396039604,0.26732673267326734,0.5841584158415841,0.23514851485148514,0.9108910891089109,6.198019801980198,242.6706220973911,24509.7328318365
5,East New York IBZ,79,0.5063291139240507,0.6708860759493671,0.34177215189873417,NA,0.34177215189873417,1,0.5569620253164557,0.31223628691983124,1,6.7594936708860756,190.81368935165824,15074.281458781
6,East New York - Flatlands IBZ,85,0.8941176470588236,0.8941176470588236,0.09411764705882353,NA,0.2529411764705882,0.6588235294117647,0.36470588235294116,0.34411764705882353,1,7.047058823529412,313.2100426650447,26622.8536265288
7,Canarsie - Flatlands IBZ,36,0.4444444444444444,0.5277777777777778,0.4722222222222222,NA,0.5277777777777778,1,0.8333333333333334,0.2916666666666667,1,7.777777777777778,465.9465959751444,16774.077455105198
8,Starrett City,10,0.8,NA,1,NA,0.9,1,1,0.2,1,8.8,126.73994730464,1267.3994730464
9,Prospect Park South,139,0.1079136690647482,NA,0.03597122302158273,NA,0.04316546762589928,0.7482014388489209,0.8561151079136691,0.27697841726618705,0.43884892086330934,3.79136690647482,121.17875409410432,16843.8468190805
Not in a CZ,Not in a CZ,5744,0.35236768802228413,0.2096100278551532,0.5179317548746518,0.03168523676880223,0.22684540389972144,0.5407381615598886,0.6854108635097493,0.19542130919220055,0.4505571030640669,5.061455431754875,185.0277270264578,1062799.2640399737
All,All,7270,0.38184319119669874,0.2839064649243466,0.4547455295735901,0.02530949105914718,0.24291609353507565,0.5572214580467676,0.6731774415405777,0.20357634112792297,0.5425034387895461,NA,NA,NA
